Row;;;Description;Special
SK_ID_CURR;Numéro demande;;ID of loan in our sample;
TARGET;;;"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample; 0 - all other cases)";
NAME_CONTRACT_TYPE;Type crédit;cash - revolving;Identification if loan is cash or revolving;
CODE_GENDER;Sexe demandeur;F : femme - M : homme;Gender of the client;
FLAG_OWN_CAR;;;Flag if the client owns a car;
FLAG_OWN_REALTY;;;Flag if client owns a house or flat;
CNT_CHILDREN;;;Number of children the client has;
AMT_INCOME_TOTAL;Revenus demandeur;;Income of the client;
AMT_CREDIT;Montant crédit;;Credit amount of the loan;
AMT_ANNUITY;Annuité;;Loan annuity;
AMT_GOODS_PRICE;Montant biens financés;;For consumer loans it is the price of the goods for which the loan is given;
NAME_TYPE_SUITE;;;Who was accompanying client when he was applying for the loan;
NAME_INCOME_TYPE;Type revenus demandeur;businessman - working…;"Clients income type (businessman; working; maternity leave;…)";
NAME_EDUCATION_TYPE;Niveau d'éducation demandeur;;Level of highest education the client achieved;
NAME_FAMILY_STATUS;Statut marital demandeur;;Family status of the client;
NAME_HOUSING_TYPE;;;"What is the housing situation of the client (renting; living with parents; ...)";
REGION_POPULATION_RELATIVE;Densité population demandeur;;Normalized population of region where client lives (higher number means the client lives in more populated region);normalized 
YEARS_BIRTH;Age demandeur;;Client's age in days at the time of application;time only relative to the application
DAYS_EMPLOYED;;;How many days before the application the person started current employment;time only relative to the application
DAYS_REGISTRATION;;;How many days before the application did client change his registration;time only relative to the application
DAYS_ID_PUBLISH;Age dépôt pièce d'identité demandeur;;How many days before the application did client change the identity document with which he applied for the loan;time only relative to the application
OWN_CAR_AGE;Age véhicule demandeur;;Age of client's car;
FLAG_MOBIL;;;"Did client provide mobile phone (1=YES; 0=NO)";
FLAG_EMP_PHONE;;;"Did client provide work phone (1=YES; 0=NO)";
FLAG_WORK_PHONE;Fourniture téléphone domicile;0 : non - 1 : oui;"Did client provide home phone (1=YES; 0=NO)";
FLAG_CONT_MOBILE;;;"Was mobile phone reachable (1=YES; 0=NO)";
FLAG_PHONE;;;"Did client provide home phone (1=YES; 0=NO)";
FLAG_EMAIL;;;"Did client provide email (1=YES; 0=NO)";
OCCUPATION_TYPE;Type profession demandeur;;What kind of occupation does the client have;
CNT_FAM_MEMBERS;;;How many family members does client have;
REGION_RATING_CLIENT;;;"Our rating of the region where client lives (1;2;3)";
REGION_RATING_CLIENT_W_CITY;Score interne région habitation demandeur;entre 1 et 3;"Our rating of the region where client lives with taking city into account (1;2;3)";
WEEKDAY_APPR_PROCESS_START;;;On which day of the week did the client apply for the loan;
HOUR_APPR_PROCESS_START;Heure approximative demande;;Approximately at what hour did the client apply for the loan;rounded
REG_REGION_NOT_LIVE_REGION;;;"Flag if client's permanent address does not match contact address (1=different; 0=same; at region level)";
REG_REGION_NOT_WORK_REGION;;;"Flag if client's permanent address does not match work address (1=different; 0=same; at region level)";
LIVE_REGION_NOT_WORK_REGION;;;"Flag if client's contact address does not match work address (1=different; 0=same; at region level)";
REG_CITY_NOT_LIVE_CITY;;;"Flag if client's permanent address does not match contact address (1=different; 0=same; at city level)";
REG_CITY_NOT_WORK_CITY;;;"Flag if client's permanent address does not match work address (1=different; 0=same; at city level)";
LIVE_CITY_NOT_WORK_CITY;;;"Flag if client's contact address does not match work address (1=different; 0=same; at city level)";
ORGANIZATION_TYPE;;;Type of organization where client works;
EXT_SOURCE_1;Score source externe 1;entre 0 et 1;Normalized score from external data source;normalized
EXT_SOURCE_2;Score source externe 2;entre 0 et 1;Normalized score from external data source;normalized
EXT_SOURCE_3;Score source externe 3;entre 0 et 1;Normalized score from external data source;normalized
APARTMENTS_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
BASEMENTAREA_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
YEARS_BEGINEXPLUATATION_AVG;;;"Normalized information about building where the client lives; What is average (_AVG suffix); modus (_MODE suffix); median (_MEDI suffix) apartment size; common area; living area; age of building; number of elevators; number of entrances; state of the building; number of floor";normalized
